basin,nse,nse_rg,nse_r1,nse_c1,nse_g1,nse_bfi_r1,nse_bfi_c1,nse_bfi_g1,bfi_obs,bfi_r1,bfi_c1,bfi_g1,qmean_obs,qmean_r1,qmean_c1,qmean_g1,slope_obs,slope_r1,slope_c1,slope_g1,hfd_obs,hfd_r1,hfd_c1,hfd_g1
FR003261,0.01850436242489606,-0.08322726704177019,0.6694033838691603,0.6508990214442643,0.7526306509109305,0.2954750054356672,0.18398889290258824,0.6242213902572795,0.6059598129957963,0.7447009279944049,0.748393269150469,0.6563830691339325,0.9507015985441356,1.09786832229749,1.105590648463495,1.1037459578122055,2.220164395451184,1.8610475712287398,1.640798835466736,2.1819056481168415,133.46153846153845,148.96153846153845,148.26923076923077,138.23076923076923
FR003295,0.012512014004288807,0.005564424007968305,0.7390122282838227,0.7265002142795339,0.7334478042758544,,,,0.5769152417053487,0.6625565778417997,0.6644644581378736,0.6572552381892128,0.874862179138891,0.9365092864344648,0.946650426849647,0.9477214369859697,1.8349622379426132,2.00660204671067,1.7865305182724414,2.0829095576972994,134.52,141.24,140.88,139.4
FR003253,0.0047951052932001526,-0.032540365523653914,0.7058892629184924,0.7010941576252923,0.7384296284421463,,,,0.6512894124251375,0.7267977512292995,0.6279481828728184,0.695976742713639,1.4149041810573662,1.3159543995398577,1.3284656122993204,1.3067949960635248,2.3023088777028162,1.9550454671759407,2.1719672995446975,2.060079273548738,140.89473684210526,146.05263157894737,136.78947368421052,142.10526315789474
FR003262,-0.02039832678387976,-0.023667384668116465,0.8068941322653339,0.8272924590492137,0.8305615169334504,,,,0.6343893699502714,0.7151728476654202,0.6618032855411526,0.6858382329662053,1.2114182847345858,1.1344704707972555,1.1421494855415608,1.1346908991442972,2.3265395283367276,1.9993262474620868,1.9662350295308182,2.1157751764320265,135.24,142.6,137.64,139.16
DEBU1957,0.0024859582816565418,0.003013381725786579,0.8654314022590042,0.8629454439773476,0.8624180205332176,0.8430636610217747,0.8396761556928419,0.8483514324364712,0.6064127198456731,0.6224846832735341,0.634431406628066,0.6306207693260153,0.8558204789088875,0.80398473678318,0.8155994790252264,0.8192321439048798,2.049170615368509,2.146279301230983,1.9736002368190262,2.1336287557712765,134.1153846153846,136.84615384615384,137.30769230769232,136.69230769230768
DEBU1959,0.0048376867128878676,0.00264453212145066,0.85226954700017,0.8474318602872821,0.8496250148787193,0.8923545544034527,0.8807285564524091,0.8851775769499618,0.6098823777540179,0.6203616306407821,0.6235033424101283,0.6346197030598917,0.995652213866705,0.9406737212302264,0.9534846600033731,0.949548854025013,2.5260576243304294,2.3216786812563246,2.187262586752196,2.2164148121761715,132.23076923076923,134.30769230769232,134.46153846153845,135.96153846153845
FR000184,0.016094339406296232,-0.10868329332273918,0.3624222202758426,0.34632788086954636,0.47110551359858177,,,,0.7607683459067961,0.8455914556872889,0.8572924074710284,0.8002331496905428,1.3461345641856322,1.0874670741512489,1.0844252657387274,1.0876207321090265,1.439657424216201,1.6604374014871255,1.462322574919746,1.9855631487461358,152.48,164.16,166.44,152.36
LU000013,0.007340227687659739,0.007285195585050364,0.6691280327984115,0.6617878051107517,0.6618428372133611,,,,0.5622001104808224,0.508831641280841,0.5123985798119158,0.5221264644130742,0.6081548655661143,0.6614451071592016,0.6677298656722997,0.6770496235099148,2.274642367461529,2.6017627778956096,2.499969773762676,2.4545263788289793,133.53846153846155,128.92307692307693,131.6153846153846,131.69230769230768
LU000017,0.025975515652976178,0.048104294818049564,0.8391509269747017,0.8131754113217255,0.7910466321566522,,,,0.5724331774596073,0.6271934261863888,0.6480937790699351,0.6874452779653383,0.9531568963534384,0.7858715197604776,0.784468504154517,0.7927902569565355,2.4595552635714406,2.193884787852689,1.9537454068452822,1.7410560152034964,127.3076923076923,134.23076923076923,137.84615384615384,143.23076923076923
DERP2027,0.02543974833147844,-0.00975333721947702,0.7343193587956571,0.7088796104641787,0.7440726960151341,0.6069687093818728,0.7674276534887653,0.6383103100159957,0.5778379022572762,0.5994258023623715,0.6815220364529566,0.5889037337888606,1.1505958165844266,0.9049927918175176,0.918479559796049,0.9112221681647024,1.82350299231343,2.46023319793766,1.9591213752434185,2.32062140095589,132.15384615384616,136.57692307692307,143.26923076923077,138.26923076923077
DERP2016,0.1389788309813519,-0.008908075674519567,0.7696518066790787,0.6306729756977268,0.7785598823535983,0.7052925929742333,0.29353584676396327,0.7521536549310353,0.6578150607763272,0.6110144625824745,0.5105197270593532,0.6287662487658805,0.8784074757929518,0.7753068761304516,0.7887147082002042,0.7893706403872028,1.9650568511190973,2.2254753435320467,2.7683509854921824,2.1121812239285345,139.65384615384616,135.46153846153845,128.69230769230768,137.53846153846155
FR003239,-0.0010876580993830487,0.01472353941734772,0.6790744485972751,0.6801621066966581,0.6643509091799273,,,,0.5417570920419356,0.6079983799778718,0.559617086561479,0.6155853690553216,1.043221884394032,1.0588742310849653,1.0723239605635815,1.0696223033827592,1.7337156049387468,2.280240772376261,2.450387849348271,2.2731011468362308,127.3913043478261,135.1304347826087,131.3913043478261,134.95652173913044
DERP2005,0.03126286921712429,-0.02749939594882278,0.7696320213040015,0.7383691520868773,0.7971314172528243,0.7882778536876182,0.7436205667041658,0.7487313689990047,0.4455873237740707,0.5809775013454104,0.6002318454301327,0.5166476919597299,1.1496889079696715,1.0127367797829363,1.0255455113470868,1.0035652689480923,3.8171290952662003,2.780707257328218,2.598623412843286,2.6681288939072636,120.1923076923077,132.69230769230768,133.92307692307693,133.80769230769232
DERP2030,0.0295563791968253,0.13255251137485136,0.8531255560252051,0.8235691768283798,0.7205730446503538,0.8647728915855222,0.8476780462552069,0.6291821764071914,0.6020962318726577,0.6064947687127462,0.6073020451078859,0.7789963018272028,0.8358863192427771,0.7946661718670506,0.8093956960506778,0.8001214625654853,2.942742738094131,2.5166518642152638,2.580743812138612,1.692560826888425,139.34615384615384,136.19230769230768,135.42307692307693,155.19230769230768
FR003266,-0.012554023275301418,0.02599390558094461,0.5361549761057451,0.5487089993810466,0.5101610705248005,,,,0.5675230756275457,0.47349765084887385,0.5018484814782278,0.5174026719352115,0.5183051714226222,0.6460027833431246,0.6595375629643836,0.6673141987473078,4.039028561215098,3.1261905787375825,2.871577601630479,2.6673031970543657,130.0,126.31818181818181,128.72727272727272,129.6818181818182
FR003268,-0.02670567794626233,-0.01704425708871915,0.6526586644039484,0.6793643423502107,0.6697029214926675,,,,0.5557469480443066,0.49130765123539366,0.5739532760184565,0.5291544170707627,0.6968147202648104,0.6630044308497789,0.6781659025331095,0.6839805333518956,2.8354812658522928,2.9946875865272564,2.3252944659142183,2.6111114970774474,126.70833333333333,126.25,131.41666666666666,129.04166666666666
FR000138,0.01466173559039452,0.014644779784158124,0.754948114119199,0.7402863785288045,0.7403033343350409,,,,0.4868317132856165,0.5397679644421508,0.5586278888812839,0.5287822283145733,0.9894250963306753,0.8746931124167469,0.8897109884405802,0.8894468037087015,2.617709868186704,2.6447111992478476,2.4180210400406015,2.6422149686592653,125.46153846153847,134.0,136.30769230769232,134.69230769230768
FR000200,0.008415687143850548,0.022049649576557195,0.7444704663434434,0.7360547791995928,0.7224208167668862,,,,0.4575035013218041,0.5359052000259767,0.5550126015515061,0.526146914654965,0.6404261968432656,0.578739039816384,0.5918847476023172,0.6015072058225337,2.8985084601167306,2.493677804440496,2.334493857367736,2.516510657895257,120.91666666666667,129.5,132.0,130.08333333333334
